CAS,smiles
CC[C@H](C)[C@@H](C([O-])=O)NC(=O)[C@H]1N(CCC1)C(=O)[C@H](CCC([O-])=O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H]3N(CCC3)C(=O)[C@@H]([NH3+])Cc4ccc(O)cc4,CC[C@H](C)[C@@H](C([O-])=O)NC(=O)[C@H]1N(CCC1)C(=O)[C@H](CCC([O-])=O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H]3N(CCC3)C(=O)[C@@H]([NH3+])Cc4ccc(O)cc4
C1CC[NH2+][C@@H]1C(=O)N[C@@H](Cc2cnc[nH]2)C(=O)N[C@@H](CS)C(=O)N[C@@H](CCCC[NH3+])C(=O)N[C@@H](CCCNC(N)=[NH2+])C(=O)N[C@H](C([O-])=O)CCSC,C1CC[NH2+][C@@H]1C(=O)N[C@@H](Cc2cnc[nH]2)C(=O)N[C@@H](CS)C(=O)N[C@@H](CCCC[NH3+])C(=O)N[C@@H](CCCNC(N)=[NH2+])C(=O)N[C@H](C([O-])=O)CCSC
c1ccccc1C[C@H]([NH3+])C(=O)N[C@@H](CS)C(=O)N[C@@H]([C@@H](C)CC)C(=O)NCC(=O)N[C@@H](CCCNC(N)=[NH2+])C(=O)N[C@H](C([O-])=O)CC(C)C,c1ccccc1C[C@H]([NH3+])C(=O)N[C@@H](CS)C(=O)N[C@@H]([C@@H](C)CC)C(=O)NCC(=O)N[C@@H](CCCNC(N)=[NH2+])C(=O)N[C@H](C([O-])=O)CC(C)C
[nH]1cncc1C[C@H]([NH3+])C(=O)N[C@H](C(=O)N[C@@H](C)C([O-])=O)Cc(c(C)[nH]2)c(c23)cccc3,[nH]1cncc1C[C@H]([NH3+])C(=O)N[C@H](C(=O)N[C@@H](C)C([O-])=O)Cc(c(C)[nH]2)c(c23)cccc3
Brc1cc(F)c(F)cc1Oc2ccc(cc2)NC(=O)C[C@H]([NH3+])C([O-])=O,Brc1cc(F)c(F)cc1Oc2ccc(cc2)NC(=O)C[C@H]([NH3+])C([O-])=O
[O-]C(=O)[C@@H](C)NC(=O)[C@H]1N(CCC1)C(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@H](C(C)C)NC(=O)[C@@H](NC(=O)C[NH2+]C)CCCNC(N)=[NH2+],[O-]C(=O)[C@@H](C)NC(=O)[C@H]1N(CCC1)C(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@H](C(C)C)NC(=O)[C@@H](NC(=O)C[NH2+]C)CCCNC(N)=[NH2+]
O=[N+]([O-])c1ccc(s1)CN(Cc2ccc(Cl)cc2)Cc3ccc(Cl)cc3C,O=[N+]([O-])c1ccc(s1)CN(Cc2ccc(Cl)cc2)Cc3ccc(Cl)cc3C
NC(=[NH2+])NCCC[C@H](NC(=O)[C@@H]([NH3+])CC([O-])=O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@H](C([O-])=O)Cc2c[nH]c[nH+]2,NC(=[NH2+])NCCC[C@H](NC(=O)[C@@H]([NH3+])CC([O-])=O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@H](C([O-])=O)Cc2c[nH]c[nH+]2
CCOC(=O)C(=C1C)C(C(=C(C)N1)C(=O)OCC)c2cc(OC)c(O)c(c2)OC,CCOC(=O)C(=C1C)C(C(=C(C)N1)C(=O)OCC)c2cc(OC)c(O)c(c2)OC
Clc1ccc(cc1Cl)/C=C/C(=O)NCC(=O)N2CCN(CC2)S(=O)(=O)C,Clc1ccc(cc1Cl)/C=C/C(=O)NCC(=O)N2CCN(CC2)S(=O)(=O)C
CCOC(=O)C(=C1C)C(C(=C(C)N1)C(=O)OCC)c2ccc(O)cc2,CCOC(=O)C(=C1C)C(C(=C(C)N1)C(=O)OCC)c2ccc(O)cc2
NC(=O)CNC(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCC([O-])=O)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](C)NC(=O)[C@@H]([NH3+])Cc2ccc(O)cc2,NC(=O)CNC(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCC([O-])=O)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](C)NC(=O)[C@@H]([NH3+])Cc2ccc(O)cc2
COC(=O)C(=C1C)C(C(=C(C)N1)C(=O)OC)c2ccc(C(C)(C)C)cc2,COC(=O)C(=C1C)C(C(=C(C)N1)C(=O)OC)c2ccc(C(C)(C)C)cc2
C=CCOC(=O)C(=C1C)C(c2ccc(O)cc2)C(=C(C)N1)C(=O)OCC=C,C=CCOC(=O)C(=C1C)C(c2ccc(O)cc2)C(=C(C)N1)C(=O)OCC=C
c1ccccc1COC(=O)c(c(C)nc2C)c(CC(C)(C)C)c2C(=O)OCc3ccccc3,c1ccccc1COC(=O)c(c(C)nc2C)c(CC(C)(C)C)c2C(=O)OCc3ccccc3
c1cc(Br)ccc1C(=O)N2CCC(CC2)CC(=O)NC[C@@H](CC([O-])=O)c3ccccc3,c1cc(Br)ccc1C(=O)N2CCC(CC2)CC(=O)NC[C@@H](CC([O-])=O)c3ccccc3
c1cc(C)ncc1C(=O)N2CCC(CC2)CC(=O)NC[C@@H](CC(=O)OC)c3ccccc3,c1cc(C)ncc1C(=O)N2CCC(CC2)CC(=O)NC[C@@H](CC(=O)OC)c3ccccc3
CC(=O)Nc(cc1)nc(=O)n1[C@@H]([C@H](O)[C@@H]2O)O[C@@H]2COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-],CC(=O)Nc(cc1)nc(=O)n1[C@@H]([C@H](O)[C@@H]2O)O[C@@H]2COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-]
c1cc(Br)ccc1C(=O)N2CCC(CC2)CC(=O)NC[C@@H](CC(=O)OC)c3ccccc3,c1cc(Br)ccc1C(=O)N2CCC(CC2)CC(=O)NC[C@@H](CC(=O)OC)c3ccccc3
[NH3+]CCCC[C@H](NC1=O)C(=O)N[C@@H](CC)C(=O)N[C@H](C(=O)N[C@H](C(=O)N)[C@H](O)C)CSSC[C@@H](C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H]1Cc(c[nH]3)c(c34)cccc4)NC(=O)[C@@H](Cc5ccccc5)NC(=O)CN6CC[NH+](CC6)CCO,[NH3+]CCCC[C@H](NC1=O)C(=O)N[C@@H](CC)C(=O)N[C@H](C(=O)N[C@H](C(=O)N)[C@H](O)C)CSSC[C@@H](C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H]1Cc(c[nH]3)c(c34)cccc4)NC(=O)[C@@H](Cc5ccccc5)NC(=O)CN6CC[NH+](CC6)CCO
[NH3+]CCN(C)Cc1c[nH]cc1-c2cccc(c2)NC(=O)C=C,[NH3+]CCN(C)Cc1c[nH]cc1-c2cccc(c2)NC(=O)C=C
[NH3+]CCCC[C@H](N)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CCC([O-])=O)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CCCC[NH3+])C(=O)N[C@@H](CCCC[NH3+])C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C([O-])=O)CCCC[NH3+],[NH3+]CCCC[C@H](N)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CCC([O-])=O)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CCCC[NH3+])C(=O)N[C@@H](CCCC[NH3+])C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C([O-])=O)CCCC[NH3+]
CCCCCCCCCCCCCCCC(=O)NCCCC[C@@H]([NH3+])C(=O)NCCC[NH2+]CCCC[NH2+]CCC[NH3+],CCCCCCCCCCCCCCCC(=O)NCCCC[C@@H]([NH3+])C(=O)NCCC[NH2+]CCCC[NH2+]CCC[NH3+]
c1cccc(c12)[nH]c(n2)[C@H](CCCNC(CCl)=[NH2+])NC(=O)c3ccc(cc3)-c4ccccc4,c1cccc(c12)[nH]c(n2)[C@H](CCCNC(CCl)=[NH2+])NC(=O)c3ccc(cc3)-c4ccccc4
[NH3+][C@@H]1C[C@H]1c(cc2)ccc2NC(=O)c3ccc(cc3)N4CC[NH+](C)CC4,[NH3+][C@@H]1C[C@H]1c(cc2)ccc2NC(=O)c3ccc(cc3)N4CC[NH+](C)CC4
CCOC(=O)C(=C1C)CC(=C(C)N1)C(=O)OCC,CCOC(=O)C(=C1C)CC(=C(C)N1)C(=O)OCC
CC(C)C[C@@H](C([O-])=O)NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCC[NH3+])NC(=O)[C@H](CS)NC(=O)[C@@H]([NH3+])CC(C)C,CC(C)C[C@@H](C([O-])=O)NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCC[NH3+])NC(=O)[C@H](CS)NC(=O)[C@@H]([NH3+])CC(C)C
[N-]=[N+]=NCC(=O)N[C@@H](CCCNC(N)=[NH2+])C(=O)NCC(=O)NCCCCCC(=O)NCCCOCCOCCOCCCNC(=O)CCCC[C@@H]1SC[C@@H]([C@@H]12)NC(=O)N2,[N-]=[N+]=NCC(=O)N[C@@H](CCCNC(N)=[NH2+])C(=O)NCC(=O)NCCCCCC(=O)NCCCOCCOCCOCCCNC(=O)CCCC[C@@H]1SC[C@@H]([C@@H]12)NC(=O)N2
CC(C)C[C@@H](C(=O)N)NC(=O)[C@H](CCCC[NH3+])NC(=O)[C@H](CO)NC(=O)[C@@H]([NH3+])CC(C)C,CC(C)C[C@@H](C(=O)N)NC(=O)[C@H](CCCC[NH3+])NC(=O)[C@H](CO)NC(=O)[C@@H]([NH3+])CC(C)C
